device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price,deprecation (percentage loss in value)
HTC,Android,15.29,yes,no,13,16,64,4,3850,170,2019,392,5.041552397,5.641694282,10.63761797
Huawei,Android,15.37,yes,yes,10.5,16,128,6,4000,192,2020,204,4.865455368,5.522939824,11.90461017
Huawei,Android,15.37,yes,yes,10.5,16,64,6,4000,182,2020,328,4.971686544,5.388889065,7.741902199
Huawei,Android,15.32,yes,no,10.5,16,128,4,4000,163,2020,134,5.058980915,5.568535325,9.150600297
Huawei,Android,15.32,yes,no,10.5,16,128,4,4000,163,2020,127,4.980931815,5.48309424,9.158376694
Huawei,Android,20.32,yes,no,5,2,16,2,5100,310,2020,240,4.218183299,4.609460967,8.488577532
Huawei,Android,15.37,yes,yes,10.5,16,128,8,4000,189,2020,102,4.916690848,5.766412927,14.73571334
Huawei,Android,25.5,yes,no,8,8,64,4,7250,450,2020,305,5.097485547,5.521900821,7.686035801
Huawei,Android,16.71,yes,yes,10.5,16,256,8,4200,226,2020,215,5.49380191,7.243134061,24.15159151
Huawei,Android,16.23,yes,no,10.5,8,64,4,4000,176,2020,133,4.365643155,5.080161357,14.06487219
Huawei,Android,25.6,yes,yes,13,8,128,6,7250,460,2020,181,5.359976747,6.309245325,15.0456755
Huawei,Android,16.23,yes,no,10.5,8,64,4,4000,176,2020,202,4.651003602,4.942570563,5.899095567
Huawei,Android,16.74,yes,no,13,16,128,6,4000,206,2019,433,5.071354029,5.674010316,10.62134634
Huawei,Android,15.34,yes,no,13,16,128,8,4200,183,2019,505,4.99531859,5.635789104,11.36434494
